#,Company,Symbol,Weight,Price,Chg,% Chg
93,Booking Holdings Inc.,BKNG,0.249967,"1,243.88",52.40,(4.40%)
94,Zoetis Inc. Class A,ZTS,0.243708,104.19,1.86,(1.82%)
95,Fiserv Inc.,FISV,0.241796,83.98,-0.48,(-0.57%)
96,Stryker Corporation,SYK,0.24124,145.55,-3.95,(-2.64%)
97,Goldman Sachs Group Inc.,GS,0.23875,144.93,-4.56,(-3.05%)
98,Prologis Inc.,PLD,0.23667,65.89,1.98,(3.10%)
99,U.S. Bancorp,USB,0.236593,32.39,-0.82,(-2.47%)
100,Intuitive Surgical Inc.,ISRG,0.236561,411.76,3.56,(0.87%)
101,Equinix Inc.,EQIX,0.235089,546.46,-3.55,(-0.64%)
102,BlackRock Inc.,BLK,0.234889,375.51,-21.85,(-5.50%)
103,Advanced Micro Devices Inc.,AMD,0.23321,41.42,1.60,(4.02%)
104,Northrop Grumman Corporation,NOC,0.232992,281.43,-15.48,(-5.21%)
105,Chubb Limited,CB,0.223686,102.62,4.09,(4.15%)
106,Kimberly-Clark Corporation,KMB,0.217247,125.55,-0.86,(-0.68%)
107,CSX Corporation,CSX,0.214429,52.89,-2.12,(-3.85%)
108,Air Products and Chemicals Inc.,APD,0.211034,190.27,-0.77,(-0.40%)
109,Activision Blizzard Inc.,ATVI,0.207331,53.43,-0.70,(-1.29%)
110,Intercontinental Exchange Inc.,ICE,0.205516,71.37,-2.31,(-3.14%)
111,PNC Financial Services Group Inc.,PNC,0.202995,92.53,0.11,(0.12%)
112,Truist Financial Corporation,TFC,0.201458,29.11,-0.86,(-2.87%)
113,Micron Technology Inc.,MU,0.201351,36.96,0.67,(1.85%)
114,Marsh & McLennan Companies Inc.,MMC,0.200177,82.98,3.95,(5.00%)
115,American Electric Power Company Inc.,AEP,0.200071,75.96,-4.85,(-6.00%)
116,Ecolab Inc.,ECL,0.19989,151.99,-7.60,(-4.76%)
117,Illinois Tool Works Inc.,ITW,0.199729,130.53,-5.80,(-4.25%)
