,Company  Name,Details,Symbol,First Trade Date,sector / industry
2199,(KOP)  Koppers Holdings Inc.,Stock Research for KOP,KOP,2006-02-01,"('Basic Materials', 'Specialty Chemicals')"
3884,(TX)  Ternium S.A.,Stock Research for TX,TX,2006-02-01,"('Basic Materials', 'Steel')"
1264,(ET)  Energy Transfer LP,Stock Research for ET,ET,2006-02-03,"('Energy', 'Oil & Gas Midstream')"
4443,(DBC)  Invesco DB Commodity Index Tracking ETF,Stock Research for DBC,DBC,2006-02-06,"('Commodities Broad Basket', None)"
4287,(XSD)  SPDR S&P Semiconductor Select Industry Index ETF,Stock Research for XSD,XSD,2006-02-06,"('Technology', None)"
5054,(XBI)  SPDR S&P Biotech ETF,Stock Research for XBI,XBI,2006-02-06,"('Health', None)"
986,(DBC)  Invesco DB Commodity Index Tracking ETF,Stock Research for DBC,DBC,2006-02-06,"('Commodities Broad Basket', None)"
3899,(UAL)  United Continental Holdings,Stock Research for UAL,UAL,2006-02-06,"('Industrials', 'Airlines')"
4245,(XBI)  SPDR S&P Biotech ETF,Stock Research for XBI,XBI,2006-02-06,"('Health', None)"
4253,(XHB)  SPDR S&P Homebuilders ETF,Stock Research for XHB,XHB,2006-02-06,"('Consumer Cyclical', None)"
5075,(XSD)  SPDR S&P Semiconductor Select Industry Index ETF,Stock Research for XSD,XSD,2006-02-06,"('Technology', None)"
5056,(XHB)  SPDR S&P Homebuilders ETF,Stock Research for XHB,XHB,2006-02-06,"('Consumer Cyclical', None)"
4243,(XAN)  Exantas Capital Corp.,Stock Research for XAN,XAN,2006-02-07,"('Real Estate', 'REIT—Mortgage')"
876,(CROX)  Crocs Inc.,Stock Research for CROX,CROX,2006-02-08,"('Consumer Cyclical', 'Footwear & Accessories')"
48,(ACOR)  Acorda Therapeutics Inc.,Stock Research for ACOR,ACOR,2006-02-10,"('Healthcare', 'Biotechnology')"
2335,(LQDT)  Liquidity Services Inc.,Stock Research for LQDT,LQDT,2006-02-27,"('Consumer Cyclical', 'Internet Retail')"
4866,(RPG)  Invesco S&P 500 Pure Growth ETF,Stock Research for RPG,RPG,2006-03-07,"('Large Growth', None)"
3267,(RPV)  Invesco S&P 500 Pure Value ETF,Stock Research for RPV,RPV,2006-03-07,"('Large Value', None)"
3263,(RPG)  Invesco S&P 500 Pure Growth ETF,Stock Research for RPG,RPG,2006-03-07,"('Large Growth', None)"
4867,(RPV)  Invesco S&P 500 Pure Value ETF,Stock Research for RPV,RPV,2006-03-07,"('Large Value', None)"
1664,(GPRE)  Green Plains Renewable Energy Inc.,Stock Research for GPRE,GPRE,2006-03-15,"('Basic Materials', 'Specialty Chemicals')"
3711,(TDG)  TransDigm Group Inc.,Stock Research for TDG,TDG,2006-03-15,"('Industrials', 'Aerospace & Defense')"
1366,(FDL)  First Trust Morningstar Dividend Leaders ETF,Stock Research for FDL,FDL,2006-03-15,"('Large Value', None)"
4550,(FDL)  First Trust Morningstar Dividend Leaders ETF,Stock Research for FDL,FDL,2006-03-15,"('Large Value', None)"
504,(BMA)  Banco Macro S.A.,Stock Research for BMA,BMA,2006-03-27,"('Financial Services', 'Banks—Regional')"
1783,(HIMX)  Himax Technologies Inc.,Stock Research for HIMX,HIMX,2006-03-31,"('Technology', 'Semiconductors')"
3009,(POR)  Portland General Electric,Stock Research for POR,POR,2006-03-31,"('Utilities', 'Utilities—Regulated Electric')"
566,(BTE)  Baytex Energy Trust,Stock Research for BTE,BTE,2006-04-03,"('Energy', 'Oil & Gas E&P')"
3977,(USO)  United States Oil Fund LP,Stock Research for USO,USO,2006-04-10,"('N/A', None)"
4068,(VNDA)  Vanda Pharma. Inc.,Stock Research for VNDA,VNDA,2006-04-12,"('Healthcare', 'Biotechnology')"
631,(CBIO)  Catalyst Biosciences Inc.,Stock Research for CBIO,CBIO,2006-04-12,"('Healthcare', 'Biotechnology')"
1316,(EXK)  Endeavour Silver Corp.,Stock Research for EXK,EXK,2006-04-26,"('Basic Materials', 'Silver')"
4915,(SLV)  iShares Silver Trust ETF,Stock Research for SLV,SLV,2006-04-28,"('N/A', None)"
3475,(SLV)  iShares Silver Trust ETF,Stock Research for SLV,SLV,2006-04-28,"('N/A', None)"
4847,(QQEW)  First Trust NASDAQ 100 Equal Weight Index ETF,Stock Research for QQEW,QQEW,2006-05-02,"('Large Growth', None)"
4852,(QTEC)  First Trust NASDAQ 100 Tech. Index ETF,Stock Research for QTEC,QTEC,2006-05-02,"('Technology', None)"
3125,(QTEC)  First Trust NASDAQ 100 Tech. Index ETF,Stock Research for QTEC,QTEC,2006-05-02,"('Technology', None)"
3117,(QQEW)  First Trust NASDAQ 100 Equal Weight Index ETF,Stock Research for QQEW,QQEW,2006-05-02,"('Large Growth', None)"
4048,(VIG)  Vanguard Dividend Appreciation ETF,Stock Research for VIG,VIG,2006-05-02,"('Large Blend', None)"
5020,(VIG)  Vanguard Dividend Appreciation ETF,Stock Research for VIG,VIG,2006-05-02,"('Large Blend', None)"
1049,(DK)  Delek US Holdings Inc.,Stock Research for DK,DK,2006-05-04,"('Energy', 'Oil & Gas Refining & Marketing')"
2039,(ITB)  iShares DJ US Home Construction ETF,Stock Research for ITB,ITB,2006-05-05,"('Consumer Cyclical', None)"
1946,(IHE)  iShares DJ US Select Pharmaceuticals Index ETF,Stock Research for IHE,IHE,2006-05-05,"('Health', None)"
1881,(IAT)  iShares Dow Jones US Regional Banks ETF,Stock Research for IAT,IAT,2006-05-05,"('Financial', None)"
1948,(IHI)  iShares Dow Jones US Medical Devices ETF,Stock Research for IHI,IHI,2006-05-05,"('Health', None)"
1879,(IAI)  iShares DJ US Broker-Dealers ETF,Stock Research for IAI,IAI,2006-05-05,"('Financial', None)"
4666,(IEZ)  iShares Dow Jones US Oil Equipment Index ETF,Stock Research for IEZ,IEZ,2006-05-05,"('Equity Energy', None)"
4679,(IHE)  iShares DJ US Select Pharmaceuticals Index ETF,Stock Research for IHE,IHE,2006-05-05,"('Health', None)"
2038,(ITA)  iShares US Aerospace & Defense ETF,Stock Research for ITA,ITA,2006-05-05,"('Industrials', None)"
1947,(IHF)  iShares Dow Jones US Healthcare Provider Index ETF,Stock Research for IHF,IHF,2006-05-05,"('Health', None)"
4703,(ITB)  iShares DJ US Home Construction ETF,Stock Research for ITB,ITB,2006-05-05,"('Consumer Cyclical', None)"
1927,(IEZ)  iShares Dow Jones US Oil Equipment Index ETF,Stock Research for IEZ,IEZ,2006-05-05,"('Equity Energy', None)"
4680,(IHF)  iShares Dow Jones US Healthcare Provider Index ETF,Stock Research for IHF,IHF,2006-05-05,"('Health', None)"
4663,(IEO)  iShares DJ US Oil & Gas Exp. & Prod. Index ETF,Stock Research for IEO,IEO,2006-05-05,"('Equity Energy', None)"
4649,(IAT)  iShares Dow Jones US Regional Banks ETF,Stock Research for IAT,IAT,2006-05-05,"('Financial', None)"
4681,(IHI)  iShares Dow Jones US Medical Devices ETF,Stock Research for IHI,IHI,2006-05-05,"('Health', None)"
4702,(ITA)  iShares US Aerospace & Defense ETF,Stock Research for ITA,ITA,2006-05-05,"('Industrials', None)"
4648,(IAI)  iShares DJ US Broker-Dealers ETF,Stock Research for IAI,IAI,2006-05-05,"('Financial', None)"
1922,(IEO)  iShares DJ US Oil & Gas Exp. & Prod. Index ETF,Stock Research for IEO,IEO,2006-05-05,"('Equity Energy', None)"
3122,(QRTEA)  Qurate Retail Group Inc.,Stock Research for QRTEA,QRTEA,2006-05-10,"('Consumer Cyclical', 'Internet Retail')"
811,(CODI)  Compass Diversified Holdings,Stock Research for CODI,CODI,2006-05-18,"('Industrials', 'Conglomerates')"
4602,(GDX)  VanEck Vectors Gold Miners ETF,Stock Research for GDX,GDX,2006-05-22,"('Equity Precious Metals', None)"
1565,(GDX)  VanEck Vectors Gold Miners ETF,Stock Research for GDX,GDX,2006-05-22,"('Equity Precious Metals', None)"
1932,(IGC)  India Globalization Capital Inc.,Stock Research for IGC,IGC,2006-05-24,"('Industrials', 'Conglomerates')"
4570,(FPX)  First Trust US Equity Opportunities ETF,Stock Research for FPX,FPX,2006-05-24,"('Large Growth', None)"
1466,(FPX)  First Trust US Equity Opportunities ETF,Stock Research for FPX,FPX,2006-05-24,"('Large Growth', None)"
4034,(VG)  Vonage Holdings Corp.,Stock Research for VG,VG,2006-05-24,"('Communication Services', 'Telecom Services')"
2368,(MA)  MasterCard Inc.,Stock Research for MA,MA,2006-05-25,"('Financial Services', 'Credit Services')"
2579,(MWA)  Mueller Water Products Inc.,Stock Research for MWA,MWA,2006-05-26,"('Industrials', 'Specialty Industrial Machinery')"
1660,(GPL)  Great Panther Silver Ltd.,Stock Research for GPL,GPL,2006-05-31,"('Basic Materials', 'Other Industrial Metals & Mining')"
308,(ATEC)  Alphatec Holdings Inc.,Stock Research for ATEC,ATEC,2006-06-12,"('Healthcare', 'Medical Devices')"
1858,(HWCC)  Houston Wire & Cable Company,Stock Research for HWCC,HWCC,2006-06-15,"('Industrials', 'Industrial Distribution')"
3500,(SNCR)  Synchronoss Techs. Inc.,Stock Research for SNCR,SNCR,2006-06-15,"('Technology', 'Software—Application')"
4465,(DLN)  WisdomTree LargeCap Dividend Index ETF,Stock Research for DLN,DLN,2006-06-16,"('Large Value', None)"
4455,(DES)  WisdomTree SmallCap Dividend ETF,Stock Research for DES,DES,2006-06-16,"('Small Value', None)"
4456,(DFE)  WisdomTree Europe SmallCap Dividend ETF,Stock Research for DFE,DFE,2006-06-16,"('Europe Stock', None)"
4458,(DFJ)  WisdomTree Japan SmallCap Dividend ETF,Stock Research for DFJ,DFJ,2006-06-16,"('Japan Stock', None)"
4466,(DLS)  WisdomTree International SmallCp Div ETF,Stock Research for DLS,DLS,2006-06-16,"('Foreign Small/Mid Value', None)"
1120,(DXJ)  WisdomTree Japan Hedged Equity ETF,Stock Research for DXJ,DXJ,2006-06-16,"('Japan Stock', None)"
4468,(DON)  WisdomTree MidCap Dividend ETF,Stock Research for DON,DON,2006-06-16,"('Mid-Cap Value', None)"
1019,(DES)  WisdomTree SmallCap Dividend ETF,Stock Research for DES,DES,2006-06-16,"('Small Value', None)"
1021,(DFE)  WisdomTree Europe SmallCap Dividend ETF,Stock Research for DFE,DFE,2006-06-16,"('Europe Stock', None)"
1024,(DFJ)  WisdomTree Japan SmallCap Dividend ETF,Stock Research for DFJ,DFJ,2006-06-16,"('Japan Stock', None)"
1054,(DLN)  WisdomTree LargeCap Dividend Index ETF,Stock Research for DLN,DLN,2006-06-16,"('Large Value', None)"
1074,(DON)  WisdomTree MidCap Dividend ETF,Stock Research for DON,DON,2006-06-16,"('Mid-Cap Value', None)"
1105,(DTN)  WisdomTree Dividend ex-Financials ETF,Stock Research for DTN,DTN,2006-06-16,"('Large Value', None)"
1057,(DLS)  WisdomTree International SmallCp Div ETF,Stock Research for DLS,DLS,2006-06-16,"('Foreign Small/Mid Value', None)"
4474,(DTN)  WisdomTree Dividend ex-Financials ETF,Stock Research for DTN,DTN,2006-06-16,"('Large Value', None)"
4481,(DXJ)  WisdomTree Japan Hedged Equity ETF,Stock Research for DXJ,DXJ,2006-06-16,"('Japan Stock', None)"
2590,(MYY)  ProShares Short MidCap400 ETF,Stock Research for MYY,MYY,2006-06-21,"('Trading--Inverse Equity', None)"
4833,(PSQ)  ProShares Short QQQ Index ETF,Stock Research for PSQ,PSQ,2006-06-21,"('Trading--Inverse Equity', None)"
3063,(PSQ)  ProShares Short QQQ Index ETF,Stock Research for PSQ,PSQ,2006-06-21,"('Trading--Inverse Equity', None)"
3113,(QLD)  ProShares Ultra QQQ ETF,Stock Research for QLD,QLD,2006-06-21,"('Trading--Leveraged Equity', None)"
1008,(DDM)  ProShares Ultra Dow 30 ETF,Stock Research for DDM,DDM,2006-06-21,"('Trading--Leveraged Equity', None)"
4846,(QLD)  ProShares Ultra QQQ ETF,Stock Research for QLD,QLD,2006-06-21,"('Trading--Leveraged Equity', None)"
4453,(DDM)  ProShares Ultra Dow 30 ETF,Stock Research for DDM,DDM,2006-06-21,"('Trading--Leveraged Equity', None)"
4788,(MYY)  ProShares Short MidCap400 ETF,Stock Research for MYY,MYY,2006-06-21,"('Trading--Inverse Equity', None)"
4467,(DOG)  ProShares Short Dow 30 ETF,Stock Research for DOG,DOG,2006-06-21,"('Trading--Inverse Equity', None)"
1072,(DOG)  ProShares Short Dow 30 ETF,Stock Research for DOG,DOG,2006-06-21,"('Trading--Inverse Equity', None)"
3415,(SH)  ProShares Short S&P 500 ETF,Stock Research for SH,SH,2006-06-21,"('Trading--Inverse Equity', None)"
4951,(SSO)  ProShares Ultra S&P 500 ETF,Stock Research for SSO,SSO,2006-06-21,"('Trading--Leveraged Equity', None)"
4904,(SH)  ProShares Short S&P 500 ETF,Stock Research for SH,SH,2006-06-21,"('Trading--Inverse Equity', None)"
3601,(SSO)  ProShares Ultra S&P 500 ETF,Stock Research for SSO,SSO,2006-06-21,"('Trading--Leveraged Equity', None)"
5074,(XRT)  SPDR S&P Retail ETF,Stock Research for XRT,XRT,2006-06-22,"('Consumer Cyclical', None)"
5069,(XME)  SPDR S&P Metals and Mining ETF,Stock Research for XME,XME,2006-06-22,"('Natural Resources', None)"
5055,(XES)  SPDR S&P Oil & Gas Equipment & Services ETF,Stock Research for XES,XES,2006-06-22,"('Equity Energy', None)"
4756,(KRE)  SPDR S&P Regional Banking ETF,Stock Research for KRE,KRE,2006-06-22,"('Financial', None)"
5072,(XPH)  SPDR S&P Pharmaceuticals ETF,Stock Research for XPH,XPH,2006-06-22,"('Health', None)"
5071,(XOP)  SPDR S&P Oil & Gas Exploration & Production ETF,Stock Research for XOP,XOP,2006-06-22,"('Equity Energy', None)"
4285,(XRT)  SPDR S&P Retail ETF,Stock Research for XRT,XRT,2006-06-22,"('Consumer Cyclical', None)"
4252,(XES)  SPDR S&P Oil & Gas Equipment & Services ETF,Stock Research for XES,XES,2006-06-22,"('Equity Energy', None)"
4276,(XOP)  SPDR S&P Oil & Gas Exploration & Production ETF,Stock Research for XOP,XOP,2006-06-22,"('Equity Energy', None)"
4270,(XME)  SPDR S&P Metals and Mining ETF,Stock Research for XME,XME,2006-06-22,"('Natural Resources', None)"
2206,(KRE)  SPDR S&P Regional Banking ETF,Stock Research for KRE,KRE,2006-06-22,"('Financial', None)"
4281,(XPH)  SPDR S&P Pharmaceuticals ETF,Stock Research for XPH,XPH,2006-06-22,"('Health', None)"
4545,(FBT)  First Trust NYSE Arca Biotech Index ETF,Stock Research for FBT,FBT,2006-06-23,"('Health', None)"
1809,(HOMB)  Home Bancshares Inc.,Stock Research for HOMB,HOMB,2006-06-23,"('Financial Services', 'Banks—Regional')"
1351,(FBT)  First Trust NYSE Arca Biotech Index ETF,Stock Research for FBT,FBT,2006-06-23,"('Health', None)"
1367,(FDN)  First Trust Dow Jones Internet Index ETF,Stock Research for FDN,FDN,2006-06-23,"('Technology', None)"
4551,(FDN)  First Trust Dow Jones Internet Index ETF,Stock Research for FDN,FDN,2006-06-23,"('Technology', None)"
4585,(FXB)  Invesco CurrencyShares British Pound Sterling ETF,Stock Research for FXB,FXB,2006-06-26,"('Single Currency', None)"
1526,(FXC)  Invesco CurrencyShares Canadian Dollar ETF,Stock Research for FXC,FXC,2006-06-26,"('Single Currency', None)"
4586,(FXC)  Invesco CurrencyShares Canadian Dollar ETF,Stock Research for FXC,FXC,2006-06-26,"('Single Currency', None)"
1525,(FXB)  Invesco CurrencyShares British Pound Sterling ETF,Stock Research for FXB,FXB,2006-06-26,"('Single Currency', None)"
1524,(FXA)  Invesco CurrencyShares Australian Dollar ETF,Stock Research for FXA,FXA,2006-06-26,"('Single Currency', None)"
4589,(FXF)  Invesco CurrencyShares Swiss Franc ETF,Stock Research for FXF,FXF,2006-06-26,"('Single Currency', None)"
1529,(FXF)  Invesco CurrencyShares Swiss Franc ETF,Stock Research for FXF,FXF,2006-06-26,"('Single Currency', None)"
4584,(FXA)  Invesco CurrencyShares Australian Dollar ETF,Stock Research for FXA,FXA,2006-06-26,"('Single Currency', None)"
2946,(PGTI)  PGT Inc.,Stock Research for PGTI,PGTI,2006-06-28,"('Industrials', 'Building Products & Equipment')"
893,(CSII)  Cardiovascular Systems Inc.,Stock Research for CSII,CSII,2006-06-28,"('Healthcare', 'Medical Devices')"
1582,(GFN)  General Finance Corp.,Stock Research for GFN,GFN,2006-07-06,"('Industrials', 'Rental & Leasing Services')"
237,(APPS)  Digital Turbine Inc.,Stock Research for APPS,APPS,2006-07-06,"('Technology', 'Software—Application')"
2140,(KALU)  Kaiser Aluminum Corp.,Stock Research for KALU,KALU,2006-07-07,"('Basic Materials', 'Aluminum')"
4577,(FTCS)  First Trust Capital Strength ETF,Stock Research for FTCS,FTCS,2006-07-11,"('Large Blend', None)"
1497,(FTCS)  First Trust Capital Strength ETF,Stock Research for FTCS,FTCS,2006-07-11,"('Large Blend', None)"
4900,(SDS)  ProShares UltraShort S&P 500 ETF,Stock Research for SDS,SDS,2006-07-13,"('Trading--Inverse Equity', None)"
1119,(DXD)  ProShares UltraShort Dow 30 ETF,Stock Research for DXD,DXD,2006-07-13,"('Trading--Inverse Equity', None)"
4789,(MZZ)  ProShares UltraShort MidCap400 ETF,Stock Research for MZZ,MZZ,2006-07-13,"('Trading--Inverse Equity', None)"
2591,(MZZ)  ProShares UltraShort MidCap400 ETF,Stock Research for MZZ,MZZ,2006-07-13,"('Trading--Inverse Equity', None)"
3383,(SDS)  ProShares UltraShort S&P 500 ETF,Stock Research for SDS,SDS,2006-07-13,"('Trading--Inverse Equity', None)"
836,(COWN)  Cowen Group Inc.,Stock Research for COWN,COWN,2006-07-13,"('Financial Services', 'Capital Markets')"
4845,(QID)  ProShares UltraShort QQQ ETF,Stock Research for QID,QID,2006-07-13,"('Trading--Inverse Equity', None)"
4480,(DXD)  ProShares UltraShort Dow 30 ETF,Stock Research for DXD,DXD,2006-07-13,"('Trading--Inverse Equity', None)"
3111,(QID)  ProShares UltraShort QQQ ETF,Stock Research for QID,QID,2006-07-13,"('Trading--Inverse Equity', None)"
4239,(WYND)  Wyndham Destinations Inc.,Stock Research for WYND,WYND,2006-07-19,"('Consumer Cyclical', 'Lodging')"
843,(CPG)  Crescent Point Energy Corp.,Stock Research for CPG,CPG,2006-07-20,"('Energy', 'Oil & Gas E&P')"
1683,(GSG)  iShares GSCI Commodity-Indexed ETF,Stock Research for GSG,GSG,2006-07-21,"('Commodities Broad Basket', None)"
4618,(GSG)  iShares GSCI Commodity-Indexed ETF,Stock Research for GSG,GSG,2006-07-21,"('Commodities Broad Basket', None)"
4198,(WNS)  WNS (Holdings) Ltd.,Stock Research for WNS,WNS,2006-07-26,"('Industrials', 'Specialty Business Services')"
1699,(GTLS)  Chart Indus. Inc.,Stock Research for GTLS,GTLS,2006-07-26,"('Industrials', 'Specialty Industrial Machinery')"
3811,(TREC)  Trecora Resources,Stock Research for TREC,TREC,2006-07-31,"('Basic Materials', 'Specialty Chemicals')"
353,(AVXL)  Anavex Life Sciences Corp.,Stock Research for AVXL,AVXL,2006-08-02,"('Healthcare', 'Biotechnology')"
918,(CTSO)  Cytosorbents Corp,Stock Research for CTSO,CTSO,2006-08-08,"('Healthcare', 'Medical Devices')"
1286,(EVR)  Evercore Partners Inc.,Stock Research for EVR,EVR,2006-08-14,"('Financial Services', 'Capital Markets')"
5032,(VOT)  Vanguard MCSI US Mid-Cap Growth ETF,Stock Research for VOT,VOT,2006-08-25,"('Mid-Cap Growth', None)"
5028,(VOE)  Vanguard MSCI US Mid Cap Value Index ETF,Stock Research for VOE,VOE,2006-08-25,"('Mid-Cap Value', None)"
4081,(VOE)  Vanguard MSCI US Mid Cap Value Index ETF,Stock Research for VOE,VOE,2006-08-25,"('Mid-Cap Value', None)"
4086,(VOT)  Vanguard MCSI US Mid-Cap Growth ETF,Stock Research for VOT,VOT,2006-08-25,"('Mid-Cap Growth', None)"
1735,(HBI)  HanesBrands Inc.,Stock Research for HBI,HBI,2006-09-06,"('Consumer Cyclical', 'Apparel Manufacturing')"
373,(AXU)  Alexco Resource Corp.,Stock Research for AXU,AXU,2006-09-08,"('Basic Materials', 'Other Precious Metals & Mining')"
1654,(GORO)  Gold Resource Corp.,Stock Research for GORO,GORO,2006-09-14,"('Basic Materials', 'Gold')"
1152,(EDU)  New Oriental Educ. & Tech. Group Inc.,Stock Research for EDU,EDU,2006-09-15,"('Consumer Defensive', 'Education & Training Services')"
3029,(PRFZ)  Invesco FTSE RAFI US 1500 Small-Mid ETF,Stock Research for PRFZ,PRFZ,2006-09-18,"('Small Blend', None)"
4828,(PRFZ)  Invesco FTSE RAFI US 1500 Small-Mid ETF,Stock Research for PRFZ,PRFZ,2006-09-18,"('Small Blend', None)"
996,(DBV)  Invesco DB G10 Currency Harvest ETF,Stock Research for DBV,DBV,2006-09-20,"('Multicurrency', None)"
4451,(DBV)  Invesco DB G10 Currency Harvest ETF,Stock Research for DBV,DBV,2006-09-20,"('Multicurrency', None)"
4436,(CVY)  Invesco Zacks Multi-Asset Income ETF,Stock Research for CVY,CVY,2006-09-21,"('Allocation--85%+ Equity', None)"
949,(CVY)  Invesco Zacks Multi-Asset Income ETF,Stock Research for CVY,CVY,2006-09-21,"('Allocation--85%+ Equity', None)"
2581,(MXI)  iShares Global Materials ETF,Stock Research for MXI,MXI,2006-09-22,"('Natural Resources', None)"
944,(CVLT)  CommVault Systems Inc.,Stock Research for CVLT,CVLT,2006-09-22,"('Technology', 'Software—Application')"
3685,(TAOP)  Taoping Inc.,Stock Research for TAOP,TAOP,2006-09-22,"('Technology', 'Software—Infrastructure')"
4787,(MXI)  iShares Global Materials ETF,Stock Research for MXI,MXI,2006-09-22,"('Natural Resources', None)"
598,(CAF)  Morgan Stanley China A Share Fund Inc.,Stock Research for CAF,CAF,2006-09-28,"('Financial Services', 'Asset Management')"
1897,(ICFI)  ICF International Inc.,Stock Research for ICFI,ICFI,2006-09-28,"('Industrials', 'Consulting Services')"
4231,(WU)  Western Union Co. (The),Stock Research for WU,WU,2006-10-02,"('Financial Services', 'Credit Services')"
4840,(PXI)  Invesco DWA Energy Momentum ETF,Stock Research for PXI,PXI,2006-10-12,"('Equity Energy', None)"
2924,(PEZ)  Invesco DWA Consumer Cyclicals ETF,Stock Research for PEZ,PEZ,2006-10-12,"('Consumer Cyclical', None)"
4808,(PEZ)  Invesco DWA Consumer Cyclicals ETF,Stock Research for PEZ,PEZ,2006-10-12,"('Consumer Cyclical', None)"
3038,(PRN)  Invesco DWA Industrials Momentum ETF,Stock Research for PRN,PRN,2006-10-12,"('Industrials', None)"
3074,(PTF)  Invesco DWA Technology Momentum ETF,Stock Research for PTF,PTF,2006-10-12,"('Technology', None)"
3076,(PTH)  Invesco DWA Healthcare Momentum ETF,Stock Research for PTH,PTH,2006-10-12,"('Health', None)"
4836,(PTH)  Invesco DWA Healthcare Momentum ETF,Stock Research for PTH,PTH,2006-10-12,"('Health', None)"
3095,(PXI)  Invesco DWA Energy Momentum ETF,Stock Research for PXI,PXI,2006-10-12,"('Equity Energy', None)"
4829,(PRN)  Invesco DWA Industrials Momentum ETF,Stock Research for PRN,PRN,2006-10-12,"('Industrials', None)"
4835,(PTF)  Invesco DWA Technology Momentum ETF,Stock Research for PTF,PTF,2006-10-12,"('Technology', None)"
3057,(PSL)  Invesco DWA Consumer Staples Momentum ETF,Stock Research for PSL,PSL,2006-10-12,"('Consumer Defensive', None)"
4831,(PSL)  Invesco DWA Consumer Staples Momentum ETF,Stock Research for PSL,PSL,2006-10-12,"('Consumer Defensive', None)"
977,(DAC)  Danaos Corp.,Stock Research for DAC,DAC,2006-10-16,"('Industrials', 'Marine Shipping')"
4916,(SLX)  VanEck Vectors Steel ETF,Stock Research for SLX,SLX,2006-10-17,"('Natural Resources', None)"
2260,(LDOS)  Leidos Holdings Inc.,Stock Research for LDOS,LDOS,2006-10-17,"('Technology', 'Information Technology Services')"
3476,(SLX)  VanEck Vectors Steel ETF,Stock Research for SLX,SLX,2006-10-17,"('Natural Resources', None)"
357,(AWI)  Armstrong World Indus. Inc.,Stock Research for AWI,AWI,2006-10-18,"('Industrials', 'Building Products & Equipment')"
2301,(LMAT)  LeMaitre Vascular Inc.,Stock Research for LMAT,LMAT,2006-10-19,"('Healthcare', 'Medical Instruments & Supplies')"
1317,(EXLS)  ExlService Holdings Inc.,Stock Research for EXLS,EXLS,2006-10-20,"('Technology', 'Information Technology Services')"
1179,(EHTH)  eHealth Inc.,Stock Research for EHTH,EHTH,2006-10-20,"('Financial Services', 'Insurance Brokers')"
1706,(GURE)  Gulf Resources Inc.,Stock Research for GURE,GURE,2006-10-23,"('Basic Materials', 'Specialty Chemicals')"
3062,(PSP)  Invesco Global Listed Private Equity ETF,Stock Research for PSP,PSP,2006-10-24,"('N/A', None)"
4832,(PSP)  Invesco Global Listed Private Equity ETF,Stock Research for PSP,PSP,2006-10-24,"('N/A', None)"
1014,(DEI)  Douglas Emmett Inc.,Stock Research for DEI,DEI,2006-10-25,"('Real Estate', 'REIT—Office')"
1048,(DJP)  iPath Bloomberg Commodity Index Total Return ETN,Stock Research for DJP,DJP,2006-10-30,"('Commodities Broad Basket', None)"
2764,(OC)  Owens Corning,Stock Research for OC,OC,2006-11-01,"('Industrials', 'Building Products & Equipment')"
3230,(RLGT)  Radiant Logistics Inc.,Stock Research for RLGT,RLGT,2006-11-01,"('Industrials', 'Integrated Freight & Logistics')"
1680,(GSAT)  Globalstar Inc.,Stock Research for GSAT,GSAT,2006-11-02,"('Communication Services', 'Telecom Services')"
2820,(ORBC)  ORBCOMM Inc.,Stock Research for ORBC,ORBC,2006-11-06,"('Communication Services', 'Telecom Services')"
3304,(RYH)  Invesco S&P 500 Equal Weight Health Care ETF,Stock Research for RYH,RYH,2006-11-07,"('Health', None)"
4880,(RYH)  Invesco S&P 500 Equal Weight Health Care ETF,Stock Research for RYH,RYH,2006-11-07,"('Health', None)"
849,(CPRX)  Catalyst Pharmaceutical Partners Inc.,Stock Research for CPRX,CPRX,2006-11-08,"('Healthcare', 'Biotechnology')"
2440,(MFG)  Mizuho Financial Group Inc. ADR,Stock Research for MFG,MFG,2006-11-08,"('Financial Services', 'Banks—Regional')"
894,(CSIQ)  Canadian Solar Inc.,Stock Research for CSIQ,CSIQ,2006-11-09,"('Technology', 'Solar')"
1136,(EBS)  Emergent BioSolutions Inc.,Stock Research for EBS,EBS,2006-11-15,"('Healthcare', 'Drug Manufacturers—Specialty & Generic')"
4137,(VYM)  Vanguard High Dividend Yield Index ETF,Stock Research for VYM,VYM,2006-11-16,"('Large Value', None)"
5048,(VYM)  Vanguard High Dividend Yield Index ETF,Stock Research for VYM,VYM,2006-11-16,"('Large Value', None)"
151,(ALLT)  Allot Communications Ltd.,Stock Research for ALLT,ALLT,2006-11-16,"('Technology', 'Software—Infrastructure')"
2149,(KBR)  KBR Inc.,Stock Research for KBR,KBR,2006-11-16,"('Industrials', 'Engineering & Construction')"
1823,(HRI)  Herc Holdings Inc.,Stock Research for HRI,HRI,2006-11-16,"('Industrials', 'Rental & Leasing Services')"
1485,(FSLR)  First Solar Inc.,Stock Research for FSLR,FSLR,2006-11-17,"('Technology', 'Solar')"
3337,(SBH)  Sally Beauty Holdings Inc.,Stock Research for SBH,SBH,2006-11-17,"('Consumer Cyclical', 'Specialty Retail')"
4182,(WLDN)  Willdan Group Inc.,Stock Research for WLDN,WLDN,2006-11-21,"('Industrials', 'Engineering & Construction')"
83,(AER)  AerCap Holdings NV,Stock Research for AER,AER,2006-11-21,"('Industrials', 'Airports & Air Services')"
2683,(NOA)  North American Construction Group Ltd.,Stock Research for NOA,NOA,2006-11-22,"('Energy', 'Oil & Gas Equipment & Services')"
